Ratio_PSA,SMILES_PSA,Ratio_PI,SMILES_PI,Td5
1.0,O=C1c2ccc(-c3ccc4c(c3)C(=O)N(c3cccc(Oc5ccc(N6C(=O)c7cccc8c(C#Cc9ccccc9)ccc(c78)C6=O)cc5)c3)C4=O)cc2C(=O)N1c1ccc(Oc2cccc(N3C(=O)c4cccc5c(C#Cc6ccccc6)ccc(c45)C3=O)c2)cc1,0.0,O=C1c2ccc(-c3ccc4c(c3)C(=O)N(c3cccc(Oc5ccc(N6C(=O)c7cccc8c(C#Cc9ccccc9)ccc(c78)C6=O)cc5)c3)C4=O)cc2C(=O)N1c1ccc(Oc2cccc(N3C(=O)c4cccc5c(C#Cc6ccccc6)ccc(c45)C3=O)c2)cc1,532.0
1.0,C[SiH](C#Cc1ccccc1)C#Cc1ccccc1,0.0,C[SiH](C#Cc1ccccc1)C#Cc1ccccc1,679.0
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(-c2ccc(N3C(=O)c4cccc(Oc5ccc(Oc6cccc7c6C(=O)N(c6ccc(-c8ccc(N9C(=O)c%10ccc(C#Cc%11ccccc%11)cc%10C9=O)cc8C(F)(F)F)c(C(F)(F)F)c6)C7=O)cc5)c4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(-c2ccc(N3C(=O)c4cccc(Oc5ccc(Oc6cccc7c6C(=O)N(c6ccc(-c8ccc(N9C(=O)c%10ccc(C#Cc%11ccccc%11)cc%10C9=O)cc8C(F)(F)F)c(C(F)(F)F)c6)C7=O)cc5)c4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,537.0
1.0,C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C#Cc2ccc(C#C)cc2)cc1,0.0,C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C#Cc2ccc(C#C)cc2)cc1,495.0
1.0,C#CC1=CC=C(OC2=C(C3=CC=CC=C3)C=C(C4N=NC(C5=CC=C(OC6=CC=C(C#C[Si](C)(C#CC(C=C7)=CC=C7OC(C=C8)=C(C9=CC=CC=C9)C=C8C(O%10)N=NC%10C(C=C%11C%12=CC=CC=C%12)=CC=C%11OC%13=CC=C(C#C)C=C%13)C)C=C6)C(C%14=CC=CC=C%14)=C5)O4)C=C2)C=C1,0.0,C#CC1=CC=C(OC2=C(C3=CC=CC=C3)C=C(C4N=NC(C5=CC=C(OC6=CC=C(C#C[Si](C)(C#CC(C=C7)=CC=C7OC(C=C8)=C(C9=CC=CC=C9)C=C8C(O%10)N=NC%10C(C=C%11C%12=CC=CC=C%12)=CC=C%11OC%13=CC=C(C#C)C=C%13)C)C=C6)C(C%14=CC=CC=C%14)=C5)O4)C=C2)C=C1,466.0
1.0,ClC#Cc1cccc(C#C[Si](Cl)(c2ccccc2)c2ccccc2)c1,0.0,ClC#Cc1cccc(C#C[Si](Cl)(c2ccccc2)c2ccccc2)c1,563.0
1.0,C#Cc1ccc(S(=O)(=O)c2cccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(S(=O)(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9cccc(S(=O)(=O)c%10ccc(C#C)cc%10)c9)cc8)cc7)cc6)cc5)cc4)cc3)c2)cc1,0.0,C#Cc1ccc(S(=O)(=O)c2cccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(S(=O)(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9cccc(S(=O)(=O)c%10ccc(C#C)cc%10)c9)cc8)cc7)cc6)cc5)cc4)cc3)c2)cc1,480.0
1.0,C#CC1=CC=CC(C#C[SiH](C)C#CC2=CC=CC(C#C)=C2)=C1,0.0,C#CC1=CC=CC(C#C[SiH](C)C#CC2=CC=CC(C#C)=C2)=C1,620.0
1.0,O=C1O/C(=N\c2ccc(-c3ccc(/N=C4\OC(=O)c5cc(-c6cccc7c6C(=O)O/C7=N\c6ccc(-c7ccc(/N=C8\OC(=O)c9ccc(C#Cc%10ccccc%10)cc98)cc7C(F)(F)F)c(C(F)(F)F)c6)ccc54)cc3C(F)(F)F)c(C(F)(F)F)c2)c2ccc(C#Cc3ccccc3)cc21,0.0,O=C1O/C(=N\c2ccc(-c3ccc(/N=C4\OC(=O)c5cc(-c6cccc7c6C(=O)O/C7=N\c6ccc(-c7ccc(/N=C8\OC(=O)c9ccc(C#Cc%10ccccc%10)cc98)cc7C(F)(F)F)c(C(F)(F)F)c6)ccc54)cc3C(F)(F)F)c(C(F)(F)F)c2)c2ccc(C#Cc3ccccc3)cc21,580.0
0.9,C#Cc1cccc(C#C[Si](C)(C#Cc2cccc(C#C)c2)C=C)c1,0.1,O=C1N(C2=CC=C(OC3=CC(OC4=CC=C(N5C(C(C=C(OC6=CC=C(C(C)(C)C7=CC=C(OC8=CC(C(N(C9=CC(C#C)=CC=C9)C%10=O)=O)=C%10C=C8)C=C7)C=C6)C=C%11)=C%11C5=O)=O)C=C4)=CC=C3)C=C2)C(C%12=C1C=C(OC%13=CC=C(C(C)(C)C%14=CC=C(OC%15=CC=C(C(N(C%16=CC=CC(C#C)=C%16)C%17=O)=O)C%17=C%15)C=C%14)C=C%13)C=C%12)=O,594.7
1.0,C#Cc1cccc(C#C[SiH](C)C#Cc2cc(C#C[SiH](C)C#Cc3cccc(C#C)c3)cc(C#C[SiH](C)C#Cc3cccc(C#C)c3)c2)c1,0.0,C#Cc1cccc(C#C[SiH](C)C#Cc2cc(C#C[SiH](C)C#Cc3cccc(C#C)c3)cc(C#C[SiH](C)C#Cc3cccc(C#C)c3)c2)c1,715.0
1.0,C#CC1=CC=CC(N2COC3=CC=CC=C3C2)=C1,0.0,C#CC1=CC=CC(N2COC3=CC=CC=C3C2)=C1,491.0
